,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
351,25-34,Male,Montgomery,UNA,16978,7941,7243,3918
352,25-34,Male,Prince George's,DEM,35559,15717,17583,12264
353,25-34,Male,Prince George's,OTH,1346,364,375,263
354,25-34,Male,Prince George's,REP,4084,1773,1446,975
355,25-34,Male,Prince George's,UNA,14713,5170,5013,3159
356,25-34,Male,Queen Anne's,DEM,528,290,293,178
357,25-34,Male,Queen Anne's,OTH,86,46,45,28
358,25-34,Male,Queen Anne's,REP,1436,991,902,603
359,25-34,Male,Queen Anne's,UNA,779,370,338,189
360,25-34,Male,Saint Mary's,DEM,1927,1010,1008,598
361,25-34,Male,Saint Mary's,OTH,227,112,96,50
362,25-34,Male,Saint Mary's,REP,2893,1898,1562,1056
363,25-34,Male,Saint Mary's,UNA,2337,1101,841,500
364,25-34,Male,Somerset,DEM,311,117,130,90
365,25-34,Male,Somerset,OTH,26,7,4,6
366,25-34,Male,Somerset,REP,400,252,234,167
367,25-34,Male,Somerset,UNA,245,88,74,52
368,25-34,Male,Talbot,DEM,530,251,289,166
369,25-34,Male,Talbot,OTH,57,24,21,20
370,25-34,Male,Talbot,REP,727,447,425,279
371,25-34,Male,Talbot,UNA,552,215,212,126
372,25-34,Male,Washington,DEM,2063,933,903,602
373,25-34,Male,Washington,OTH,274,119,83,77
374,25-34,Male,Washington,REP,3284,1938,1602,1255
375,25-34,Male,Washington,UNA,2740,1006,753,594
376,25-34,Male,Wicomico,DEM,1761,700,755,486
377,25-34,Male,Wicomico,OTH,210,77,74,52
378,25-34,Male,Wicomico,REP,1809,1086,937,672
379,25-34,Male,Wicomico,UNA,1836,676,593,306
380,25-34,Male,Worcester,DEM,646,291,314,204
381,25-34,Male,Worcester,OTH,89,33,28,19
382,25-34,Male,Worcester,REP,1238,738,688,460
383,25-34,Male,Worcester,UNA,857,311,320,181
384,35-50,Female,Allegany,DEM,1471,941,867,789
385,35-50,Female,Allegany,OTH,135,52,48,39
386,35-50,Female,Allegany,REP,2461,1761,1632,1471
387,35-50,Female,Allegany,UNA,1410,716,582,500
388,35-50,Female,Anne Arundel,DEM,29467,22941,21691,18217
389,35-50,Female,Anne Arundel,OTH,1121,632,548,441
390,35-50,Female,Anne Arundel,REP,14686,11269,10439,8989
391,35-50,Female,Anne Arundel,UNA,16640,10736,9572,7392
392,35-50,Female,Baltimore City,DEM,47276,29534,28825,28216
393,35-50,Female,Baltimore City,OTH,1278,437,410,374
394,35-50,Female,Baltimore City,REP,3485,1503,1430,1325
395,35-50,Female,Baltimore City,UNA,10079,4369,4033,3548
396,35-50,Female,Baltimore County,DEM,48237,35414,34567,31877
397,35-50,Female,Baltimore County,OTH,1734,867,762,696
398,35-50,Female,Baltimore County,REP,14614,10966,10033,9028
399,35-50,Female,Baltimore County,UNA,18084,10683,9725,8329
400,35-50,Female,Calvert,DEM,3393,2668,2374,2207
401,35-50,Female,Calvert,OTH,175,116,88,74
402,35-50,Female,Calvert,REP,3431,2802,2324,2182
403,35-50,Female,Calvert,UNA,2732,1866,1418,1203
404,35-50,Female,Caroline,DEM,805,530,535,500
405,35-50,Female,Caroline,OTH,57,30,26,30
406,35-50,Female,Caroline,REP,1343,1066,997,900
407,35-50,Female,Caroline,UNA,819,468,431,353
408,35-50,Female,Carroll,DEM,5177,4203,4034,3545
409,35-50,Female,Carroll,OTH,307,200,181,161
410,35-50,Female,Carroll,REP,7082,5880,5630,5051
411,35-50,Female,Carroll,UNA,4788,3276,3014,2518
412,35-50,Female,Cecil,DEM,2627,1705,1433,1190
413,35-50,Female,Cecil,OTH,202,85,65,66
414,35-50,Female,Cecil,REP,4386,3503,2985,2703
415,35-50,Female,Cecil,UNA,2616,1440,1082,876
416,35-50,Female,Charles,DEM,12795,10076,9602,8352
417,35-50,Female,Charles,OTH,317,173,160,118
418,35-50,Female,Charles,REP,2531,1872,1700,1449
419,35-50,Female,Charles,UNA,4049,2530,2219,1826
420,35-50,Female,Dorchester,DEM,1287,813,806,772
421,35-50,Female,Dorchester,OTH,59,20,25,20
422,35-50,Female,Dorchester,REP,917,726,673,609
423,35-50,Female,Dorchester,UNA,621,318,283,249
424,35-50,Female,Frederick,DEM,13850,11007,10190,8544
425,35-50,Female,Frederick,OTH,488,283,236,197
426,35-50,Female,Frederick,REP,7920,6264,5822,5078
427,35-50,Female,Frederick,UNA,8693,5860,5014,3985
428,35-50,Female,Garrett,DEM,385,257,221,208
429,35-50,Female,Garrett,OTH,38,21,16,11
430,35-50,Female,Garrett,REP,1452,1111,1095,921
431,35-50,Female,Garrett,UNA,462,240,205,158
432,35-50,Female,Harford,DEM,10434,8031,7779,6802
433,35-50,Female,Harford,OTH,564,315,290,241
434,35-50,Female,Harford,REP,9285,7669,7235,6512
435,35-50,Female,Harford,UNA,7088,4658,4258,3483
436,35-50,Female,Howard,DEM,21103,17045,16056,13573
437,35-50,Female,Howard,OTH,565,307,275,219
438,35-50,Female,Howard,REP,5082,3926,3565,2928
439,35-50,Female,Howard,UNA,9359,6597,5825,4275
440,35-50,Female,Kent,DEM,568,404,386,331
441,35-50,Female,Kent,OTH,28,15,12,8
442,35-50,Female,Kent,REP,446,357,321,285
443,35-50,Female,Kent,UNA,339,211,176,145
444,35-50,Female,Montgomery,DEM,62815,49606,44509,34805
445,35-50,Female,Montgomery,OTH,1507,794,706,512
446,35-50,Female,Montgomery,REP,10264,7307,6353,4783
447,35-50,Female,Montgomery,UNA,23722,15644,13200,9280
448,35-50,Female,Prince George's,DEM,69800,46772,45956,39764
449,35-50,Female,Prince George's,OTH,2272,709,647,534
450,35-50,Female,Prince George's,REP,4695,2495,2178,1730
