year,month,county,inactive
2012,04,ANNE ARUNDEL,25399
2012,04,BALTIMORE CITY,18269
2012,04,BALTIMORE CO.,49024
2012,04,CALVERT,3922
2012,04,CAROLINE,1185
2012,04,CARROLL,5004
2012,04,CECIL,7898
2012,04,CHARLES,8598
2012,04,DORCHESTER,1172
2012,04,FREDERICK,7904
2012,04,GARRETT,1085
2012,04,HARFORD,8234
2012,04,HOWARD,18576
2012,04,KENT,1048
2012,04,MONTGOMERY,36203
2012,04,PR. GEORGE'S,9768
2012,04,QUEEN ANNE'S,1399
2012,04,ST. MARY'S,5658
2012,04,SOMERSET,775
2012,04,TALBOT,2758
2012,04,WASHINGTON,8324
2012,04,WICOMICO,4348
2012,04,WORCESTER,2349
2014,12,nan,1187
2014,12,nan,21711
2014,12,nan,35272
2014,12,nan,21539
2014,12,nan,4023
2014,12,nan,1185
2014,12,nan,3673
2014,12,nan,5123
2014,12,nan,4907
2014,12,nan,1266
2014,12,nan,8775
2014,12,nan,372
2014,12,nan,5783
2014,12,nan,7184
2014,12,nan,608
2014,12,nan,30397
2014,12,nan,56444
2014,12,nan,1210
2014,12,nan,3626
2014,12,nan,1222
2014,12,nan,1152
2014,12,nan,4083
2014,12,nan,4713
2014,12,nan,2768
2014,12,nan,228223
2006,11,ALLEGANY,2325
2006,11,ANNE ARUNDEL,15989
2006,11,BALTIMORE CITY,19213
2006,11,BALTIMORE CO.,27994
2006,11,CALVERT,4944
2006,11,CAROLINE,803
2006,11,CARROLL,6472
2006,11,CECIL,4325
2006,11,CHARLES,3793
2006,11,DORCHESTER,779
2006,11,FREDERICK,14779
2006,11,GARRETT,375
2006,11,HARFORD,10067
2006,11,HOWARD,15247
2006,11,KENT,76
2006,11,MONTGOMERY,34379
2006,11,PR. GEORGE'S,29420
2006,11,QUEEN ANNE'S,858
2006,11,ST. MARY'S,2147
2006,11,SOMERSET,902
2006,11,TALBOT,1082
2006,11,WASHINGTON,5947
2006,11,WICOMICO,2383
2006,11,WORCESTER,2218
05,ALLEGANY,2506
2015,05,ANNE ARUNDEL,27016
2015,05,BALTIMORE CITY,46412
2015,05,BALTIMORE CO.,31525
2015,05,CALVERT,4672
2015,05,CAROLINE,1194
2015,05,CARROLL,4327
2015,05,CECIL,5902
2015,05,CHARLES,7398
2015,05,DORCHESTER,1336
2015,05,FREDERICK,11208
2015,05,GARRETT,933
2015,05,HARFORD,8780
2015,05,HOWARD,11412
2015,05,KENT,644
2015,05,MONTGOMERY,57003
2015,05,PR. GEORGE'S,62129
2015,05,QUEEN ANNE'S,2108
2015,05,ST. MARY'S,5451
2015,05,SOMERSET,1284
2015,05,TALBOT,1380
2015,05,WASHINGTON,5549
2015,05,WICOMICO,5324
2015,05,WORCESTER,3320
2006,09,ALLEGANY,2383
2006,09,ANNE ARUNDEL,16695
2006,09,BALTIMORE CITY,19768
2006,09,BALTIMORE CO.,29384
2006,09,CALVERT,5329
2006,09,CAROLINE,812
2006,09,CARROLL,6604
2006,09,CECIL,4486
2006,09,CHARLES,3955
2006,09,DORCHESTER,804
2006,09,FREDERICK,15007
2006,09,GARRETT,389
2006,09,HARFORD,10602
2006,09,HOWARD,15411
2006,09,KENT,80
2006,09,MONTGOMERY,35006
2006,09,PR. GEORGE'S,31241
2006,09,QUEEN ANNE'S,864
2006,09,ST. MARY'S,2331
2006,09,SOMERSET,921
2006,09,TALBOT,1117
2006,09,WASHINGTON,6026
2006,09,WICOMICO,2401
2006,09,WORCESTER,2290
2023,05,ALLEGANY,2436
