year,month,county,dem,rep,unaf,other
2012,04,BALTIMORE CITY,292191,32245,42348,1456
2012,04,BALTIMORE CO.,286217,128991,68746,5377
2012,04,CALVERT,22672,22823,10252,516
2012,04,CAROLINE,7085,7514,2960,126
2012,04,CARROLL,32510,55689,17757,884
2012,04,CECIL,23548,23467,11686,768
2012,04,CHARLES,52712,24926,14350,560
2012,04,DORCHESTER,9930,6942,2242,132
2012,04,FREDERICK,52083,59252,28672,71
2012,04,GARRETT,4817,11495,1945,192
2012,04,HARFORD,61622,65241,24380,862
2012,04,HOWARD,87359,56223,36962,1879
2012,04,KENT,5931,4486,1611,140
2012,04,MONTGOMERY,327392,122512,128597,1022
2012,04,PR. GEORGE'S,419605,47218,49878,21038
2012,04,QUEEN ANNE'S,11108,14772,4797,203
2012,04,ST. MARY'S,24407,24683,11000,464
2012,04,SOMERSET,6862,4508,1598,116
2012,04,TALBOT,9811,10962,3802,292
2012,04,WASHINGTON,31028,37654,15254,164
2012,04,WICOMICO,24826,20234,8528,681
2012,04,WORCESTER,14965,14016,5546,399
2024,11,ALLEGANY,11024,23681,8952,496
2024,11,ANNE ARUNDEL,176289,132033,107477,3779
2024,11,BALTIMORE CITY,305040,30052,65745,5116
2024,11,BALTIMORE CO.,312143,142246,121947,7003
2024,11,CALVERT,23957,29183,16860,634
2024,11,CAROLINE,6050,11194,4956,223
2024,11,CARROLL,33671,65407,31099,1209
2024,11,CECIL,19387,35977,17571,822
2024,11,CHARLES,77233,24019,25626,1116
2024,11,DORCHESTER,9678,9706,4402,251
2024,11,FREDERICK,80026,70073,55078,1502
2024,11,GARRETT,3500,14134,3117,183
2024,11,HARFORD,65362,82838,45869,2007
2024,11,HOWARD,125176,49406,64322,2191
2024,11,KENT,5779,5527,2842,125
2024,11,MONTGOMERY,414121,101708,178788,6178
2024,11,PR. GEORGE'S,463995,41595,103269,11642
2024,11,QUEEN ANNE'S,11314,20823,9046,331
2024,11,ST. MARY'S,25490,33746,18609,740
2024,11,SOMERSET,5410,6335,2586,154
2024,11,TALBOT,10757,11876,6152,243
2024,11,WASHINGTON,31296,45906,24583,984
2024,11,WICOMICO,26389,24772,15396,816
2024,11,WORCESTER,13802,20203,9332,515
2010,01,ALLEGANY,16600,19280,4767,460
2010,01,ANNE ARUNDEL,143496,117026,56472,91
2010,01,BALTIMORE CITY,288635,31449,37485,1348
2010,01,BALTIMORE CO.,285486,124494,58204,5634
2010,01,CALVERT,22981,21624,9079,519
2010,01,CAROLINE,7493,7066,2759,83
2010,01,CARROLL,33429,52544,15467,26
2010,01,CECIL,24115,21988,10379,755
2010,01,CHARLES,48671,24492,12307,560
2010,01,DORCHESTER,10246,6738,2023,154
2010,01,FREDERICK,51243,56072,24285,40
2010,01,GARRETT,5063,10942,1558,203
2010,01,HARFORD,63139,61488,20545,661
2010,01,HOWARD,83774,53547,30487,1774
2010,01,KENT,6173,4319,1482,128
2010,01,MONTGOMERY,319136,122688,110170,2539
2010,01,PR. GEORGE'S,396492,46521,37494,25979
2010,01,QUEEN ANNE'S,11120,13533,3928,219
2010,01,ST. MARY'S,24638,22326,9437,560
2010,01,SOMERSET,7290,4040,1388,108
2010,01,TALBOT,9987,10712,3322,307
2010,01,WASHINGTON,32130,36573,12865,220
2010,01,WICOMICO,24995,19269,7409,551
2010,01,WORCESTER,15425,13262,4784,455
2020,10,ALLEGANY,12900,22750,7800,396
2020,10,ANNE ARUNDEL,176209,136772,91775,2729
2020,10,BALTIMORE CITY,313398,30342,52936,3303
2020,10,BALTIMORE CO.,316459,143757,102180,5884
2020,10,CALVERT,24765,28425,14447,574
2020,10,CAROLINE,6685,10154,4303,167
2020,10,CARROLL,33972,64711,26407,1075
2020,10,CECIL,21781,31208,15384,728
2020,10,CHARLES,73290,24915,20238,761
2020,10,DORCHESTER,9922,8814,3403,151
2020,10,FREDERICK,73384,69574,43835,812
2020,10,GARRETT,4013,13537,2644,154
2020,10,HARFORD,66922,80883,38751,1544
2020,10,HOWARD,120474,53285,53158,2038
2020,10,KENT,6025,5036,2330,115
2020,10,MONTGOMERY,417025,106791,151009,5856
2020,10,PR. GEORGE'S,478239,40310,79025,11191
2020,10,QUEEN ANNE'S,11195,19232,7306,283
2020,10,ST. MARY'S,26648,31006,15882,609
2020,10,SOMERSET,5734,5756,2080,94
2020,10,TALBOT,10844,11846,5249,256
2020,10,WASHINGTON,33094,44641,20865,876
2020,10,WICOMICO,27416,23892,12530,648
2020,10,WORCESTER,14213,18477,7691,444
2018,01,ALLEGANY,13864,21284,7117,302
2018,01,ANNE ARUNDEL,159780,134468,82760,1223
2018,01,BALTIMORE CITY,301200,31039,45782,1658
2018,01,BALTIMORE CO.,305849,142241,90743,4448
2018,01,CALVERT,23607,26554,13265,393
2018,01,CAROLINE,6853,9156,3821,117
2018,01,CARROLL,32170,63176,24039,823
2018,01,CECIL,21232,27543,13992,561
2018,01,CHARLES,66193,25331,18001,491
2018,01,DORCHESTER,9947,8080,2981,98
2018,01,FREDERICK,62111,66095,38413,319
2018,01,GARRETT,4243,12694,2455,134
2018,01,HARFORD,64110,77244,34785,1125
2018,01,HOWARD,105229,55804,47349,1830
2018,01,KENT,5969,4694,2051,104
2018,01,MONTGOMERY,377455,114859,142588,4640
2018,01,PR. GEORGE'S,449680,40885,66158,11552
2018,01,QUEEN ANNE'S,10680,17686,6604,174
2018,01,ST. MARY'S,25406,29195,14172,409
2018,01,SOMERSET,5885,5158,1810,74
2018,01,TALBOT,10029,11595,4880,185
2018,01,WASHINGTON,31839,42187,19097,455
2018,01,WICOMICO,26427,22781,10892,439
2018,01,WORCESTER,14055,16402,6944,290
2006,12,ALLEGANY,16984,19753,4326,439
2006,12,ANNE ARUNDEL,135505,119538,54199,72
